Faixa,De,Até,Preço Unitário,Total Faixa,Acumulado
1,1,999,"R$ 1,1720","R$ 1.170,83","R$ 1.170,83"
2,"1.000","9.999","R$ 1,0150","R$ 9.135,00","R$ 10.305,83"
3,"10.000","49.999","R$ 0,8260","R$ 33.040,00","R$ 43.345,83"
4,"50.000","99.999","R$ 0,7010","R$ 35.050,00","R$ 78.395,83"
5,"100.000","249.999","R$ 0,565","R$ 84.750,00","R$ 163.145,83"
6,"250.000","499.999","R$ 0,4710","R$ 117.750,00","R$ 280.895,83"
7,"500.000","999.999","R$ 0,3980","R$ 199.000,00","R$ 479.895,83"
8,"1.000.000","1.499.999","R$ 0,3240","R$ 162.000,00","R$ 641.895,83"
9,"1.500.000","2.999.999","R$ 0,2510","R$ 376.500,00","R$ 1.018.395,83"
10,"3.000.000","4.999.999","R$ 0,1900","R$ 380.000,00","R$ 1.398.395,83"
11,"5.000.000","6.999.999","R$ 0,1800","R$ 360.000,00","R$ 1.758.395,83"
12,"7.000.000","9.999.999","R$ 0,1700","R$ 510.000,00","R$ 2.268.395,83"
13,"10.000.000","19.999.999","R$ 0,1500","R$ 1.500.000,00","R$ 3.768.395,83"
14,"20.000.000","24.999.999","R$ 0,1380","R$ 690.000,00","R$ 4.458.395,83"
15,"25.000.000","29.999.999","R$ 0,1220","R$ 610.000,00","R$ 5.068.395,83"
16,"30.000.000+",∞,"R$ 0,1080",-,-

Tipo de Consulta,Consulta Empresa (CPF Completo)
Endpoint,/empresa/{ni}
Modelo de Cobrança,ESCALONADO/PROGRESSIVO
Contrato,260009
Recursos Incluídos,Check Time Stamp (Carimbo de Tempo)
Observação,CPF dos sócios retorna completo (sem máscara)
