Faixa,De,Até,Preço Unitário,Total Faixa,Acumulado
1,1,999,"R$ 0,8680","R$ 866,73","R$ 866,73"
2,"1.000","9.999","R$ 0,7430","R$ 6.687,00","R$ 7.553,73"
3,"10.000","49.999","R$ 0,5960","R$ 23.840,00","R$ 31.393,73"
4,"50.000","99.999","R$ 0,5020","R$ 25.100,00","R$ 56.493,73"
5,"100.000","249.999","R$ 0,3980","R$ 59.700,00","R$ 116.193,73"
6,"250.000","499.999","R$ 0,3350","R$ 83.750,00","R$ 199.943,73"
7,"500.000","999.999","R$ 0,2720","R$ 136.000,00","R$ 335.943,73"
8,"1.000.000","1.499.999","R$ 0,2200","R$ 110.000,00","R$ 445.943,73"
9,"1.500.000","2.999.999","R$ 0,178","R$ 267.000,00","R$ 712.943,73"
10,"3.000.000","4.999.999","R$ 0,1300","R$ 260.000,00","R$ 972.943,73"
11,"5.000.000","6.999.999","R$ 0,1200","R$ 240.000,00","R$ 1.212.943,73"
12,"7.000.000","9.999.999","R$ 0,1100","R$ 330.000,00","R$ 1.542.943,73"
13,"10.000.000","19.999.999","R$ 0,1000","R$ 1.000.000,00","R$ 2.542.943,73"
14,"20.000.000","24.999.999","R$ 0,0760","R$ 380.000,00","R$ 2.922.943,73"
15,"25.000.000","29.999.999","R$ 0,0720","R$ 360.000,00","R$ 3.282.943,73"
16,"30.000.000+",∞,"R$ 0,0670",-,-

Tipo de Consulta,Consulta QSA (CPF Mascarado)
Endpoint,/qsa/{ni}
Modelo de Cobrança,ESCALONADO/PROGRESSIVO
Contrato,260009
Recursos Incluídos,Check Time Stamp (Carimbo de Tempo)
Observação,CPF dos sócios retorna mascarado (***000002**)
