API Consulta Dívida Ativa - Tabela de Preços
Contrato: 261069
Modelo: ESCALONADO/PROGRESSIVO
Atualização: 06/12/2025

Faixa,De,Até,Preço Unitário (R$)
1,1,999,0.6591
2,1000,9999,0.5649
3,10000,49999,0.3557
4,50000,99999,0.2616
5,100000,249999,0.1775
6,250000,499999,0.1569
7,500000,999999,0.1465
8,1000000,1499999,0.1360
9,1500000,2999999,0.1151
10,3000000,4499999,0.0732
11,4500000,9999999,0.0523
12,10000000,16999999,0.0314
13,17000000,19999999,0.0260
14,20000000,24999999,0.0230
15,25000000,29999999,0.0200
16,30000000,+,0.0170

OBSERVAÇÕES:
- Mesma tabela de preços da API Consulta CPF
- Modelo ESCALONADO/PROGRESSIVO
- Valores em reais (R$) por consulta
